,date,xauusd
783,2016-02-23,1229.2784255058
784,2016-02-24,1230.9226815974
785,2016-02-25,1233.7037682067
786,2016-02-26,1221.4038815808
787,2016-02-27,1221.0012210012
788,2016-02-28,1221.0012210012
789,2016-02-29,1236.9037327759
790,2016-03-01,1232.6501616243
791,2016-03-02,1238.3849042228
792,2016-03-03,1266.3189743836
793,2016-03-04,1260.6401578101
794,2016-03-05,1261.4317250079
795,2016-03-06,1261.4317250079
796,2016-03-07,1266.4855504444
797,2016-03-08,1261.98686148
798,2016-03-09,1251.8961278294
799,2016-03-10,1271.862833737
800,2016-03-11,1247.5342848939
801,2016-03-12,1247.2715933895
802,2016-03-13,1250.3907471085
803,2016-03-14,1234.9327051345
804,2016-03-15,1232.9501936159
805,2016-03-16,1262.6508407939
806,2016-03-17,1260.7955483014
807,2016-03-18,1252.8328914295
808,2016-03-19,1251.9561815336
809,2016-03-20,1253.1328320802
810,2016-03-21,1245.682890396
811,2016-03-22,1248.5526926586
812,2016-03-23,1220.8489126908
813,2016-03-24,1217.4139149052
814,2016-03-25,1217.3838530114
815,2016-03-26,1218.0267965895
816,2016-03-27,1216.9151201704
817,2016-03-28,1220.1393005279
818,2016-03-29,1239.0127169919
819,2016-03-30,1223.1452302114
820,2016-03-31,1232.6801986603
821,2016-04-01,1221.3705903871
822,2016-04-02,1221.0012210012
823,2016-04-03,1219.512195122
824,2016-04-04,1216.8991135049
